Week,SVI
1/1/2017,7
1/8/2017,6
1/15/2017,4
1/22/2017,4
1/29/2017,4
2/5/2017,4
2/12/2017,4
2/19/2017,5
2/26/2017,5
3/5/2017,6
3/12/2017,5
3/19/2017,5
3/26/2017,5
4/2/2017,5
4/9/2017,4
4/16/2017,4
4/23/2017,5
4/30/2017,7
5/7/2017,9
5/14/2017,11
5/21/2017,19
5/28/2017,12
6/4/2017,12
6/11/2017,13
6/18/2017,10
6/25/2017,11
7/2/2017,9
7/9/2017,10
7/16/2017,11
7/23/2017,10
7/30/2017,15
8/6/2017,14
8/13/2017,19
8/20/2017,15
8/27/2017,16
9/3/2017,18
9/10/2017,20
9/17/2017,15
9/24/2017,13
10/1/2017,12
10/8/2017,18
10/15/2017,19
10/22/2017,20
10/29/2017,26
11/5/2017,27
11/12/2017,31
11/19/2017,27
11/26/2017,62
12/3/2017,86
12/10/2017,85
12/17/2017,100
12/24/2017,62
12/31/2017,46
1/7/2018,44
1/14/2018,54
1/21/2018,36
1/28/2018,39
2/4/2018,46
2/11/2018,26
2/18/2018,23
2/25/2018,19
3/4/2018,19
3/11/2018,19
3/18/2018,18
3/25/2018,17
4/1/2018,17
4/8/2018,15
4/15/2018,14
4/22/2018,14
4/29/2018,12
5/6/2018,12
5/13/2018,11
5/20/2018,11
5/27/2018,10
6/3/2018,9
6/10/2018,12
6/17/2018,10
6/24/2018,10
7/1/2018,9
7/8/2018,9
7/15/2018,11
7/22/2018,12
7/29/2018,10
8/5/2018,11
8/12/2018,10
8/19/2018,9
8/26/2018,10
9/2/2018,11
9/9/2018,9
9/16/2018,9
9/23/2018,8
9/30/2018,8
10/7/2018,8
10/14/2018,8
10/21/2018,7
10/28/2018,7
11/4/2018,8
11/11/2018,10
11/18/2018,13
11/25/2018,14
12/2/2018,11
12/9/2018,10
12/16/2018,11
12/23/2018,10
12/30/2018,8
1/6/2019,9
1/13/2019,8
1/20/2019,7
1/27/2019,7
2/3/2019,8
2/10/2019,7
2/17/2019,8
2/24/2019,7
3/3/2019,7
3/10/2019,7
3/17/2019,7
3/24/2019,7
3/31/2019,12
4/7/2019,10
4/14/2019,8
4/21/2019,9
4/28/2019,8
5/5/2019,11
5/12/2019,18
5/19/2019,13
5/26/2019,14
6/2/2019,12
6/9/2019,11
6/16/2019,16
6/23/2019,25
6/30/2019,16
7/7/2019,16
7/14/2019,16
7/21/2019,13
7/28/2019,12
8/4/2019,14
8/11/2019,12
8/18/2019,11
8/25/2019,11
9/1/2019,11
9/8/2019,9
9/15/2019,9
9/22/2019,12
9/29/2019,9
10/6/2019,9
10/13/2019,9
10/20/2019,10
10/27/2019,10
11/3/2019,9
11/10/2019,8
11/17/2019,9
11/24/2019,10
12/1/2019,8
12/8/2019,8
12/15/2019,9
12/22/2019,8
12/29/2019,8
1/5/2020,10
1/12/2020,10
1/19/2020,9
1/26/2020,10
2/2/2020,10
2/9/2020,12
2/16/2020,11
2/23/2020,11
3/1/2020,10
3/8/2020,18
3/15/2020,19
3/22/2020,14
3/29/2020,12
4/5/2020,13
4/12/2020,12
4/19/2020,12
4/26/2020,15
5/3/2020,17
5/10/2020,20
5/17/2020,14
5/24/2020,12
5/31/2020,12
6/7/2020,11
6/14/2020,10
6/21/2020,10
6/28/2020,10
7/5/2020,9
7/12/2020,11
7/19/2020,10
7/26/2020,16
8/2/2020,14
8/9/2020,13
8/16/2020,13
8/23/2020,11
8/30/2020,11
9/6/2020,11
9/13/2020,10
9/20/2020,9
9/27/2020,8
10/4/2020,9
10/11/2020,9
10/18/2020,12
10/25/2020,13
11/1/2020,14
11/8/2020,15
11/15/2020,21
11/22/2020,23
11/29/2020,20
12/6/2020,16
12/13/2020,26
12/20/2020,26
12/27/2020,40
1/3/2021,64
1/10/2021,63
1/17/2021,40
1/24/2021,37
1/31/2021,33
2/7/2021,58
2/14/2021,56
2/21/2021,62
2/28/2021,42
3/7/2021,40
3/14/2021,39
3/21/2021,36
3/28/2021,35
4/4/2021,31
4/11/2021,41
4/18/2021,51
4/25/2021,39
5/2/2021,33
5/9/2021,45
5/16/2021,76
5/23/2021,53
5/30/2021,39
6/6/2021,40
6/13/2021,31
6/20/2021,37
6/27/2021,27
7/4/2021,22
7/11/2021,22
7/18/2021,26
7/25/2021,30
8/1/2021,24
8/8/2021,28
8/15/2021,24
8/22/2021,25
8/29/2021,22
9/5/2021,29
9/12/2021,21
9/19/2021,25
9/26/2021,21
10/3/2021,25
10/10/2021,28
10/17/2021,36
10/24/2021,28
10/31/2021,23
11/7/2021,28
11/14/2021,28
11/21/2021,27
11/28/2021,28
12/5/2021,30
12/12/2021,26
12/19/2021,24
12/26/2021,24
